cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
302,69.92,3.17,14.89,0.7346,0.6589,0.5653,#bba890,78.0,167
303,74.89,2.54,20.95,0.7985,0.7117,0.5729,#cbb592,83.1,23
304,49.15,-43.17,18.71,0.0348,0.5252,0.3275,#088553,156.6,137
305,56.48,-47.99,19.32,0.008,0.6081,0.3925,#029b64,158.1,8
306,53.13,-35.63,5.17,0.1472,0.5586,0.4586,#258e74,171.7,35
307,42.65,-38.46,17.23,0.0494,0.4532,0.2778,#0c7346,155.9,91
308,38.39,-28.48,13.51,0.159,0.3986,0.265,#286543,154.6,27
309,39.82,-22.02,-3.08,0.1499,0.4067,0.3851,#266762,188.0,21
310,45.59,-33.15,4.35,0.0802,0.4781,0.3911,#147963,172.5,10
311,49.1,-31.47,-1.31,0.0996,0.5126,0.4627,#198275,182.4,23
312,61.69,-27.32,12.14,0.3992,0.6338,0.4968,#65a17e,156.1,26
313,68.54,-21.28,4.49,0.4945,0.6974,0.621,#7eb19e,168.1,17
314,66.22,-47.08,6.0,0.0,0.714,0.5835,#00b694,172.7,5
315,64.58,-37.56,-3.98,0.1477,0.6846,0.6376,#25aea2,186.1,25
316,58.63,-6.38,30.02,0.582,0.5601,0.3442,#948e57,102.0,14
317,51.09,-4.91,28.19,0.5097,0.4816,0.2861,#817a48,99.9,4
318,53.9,-3.16,16.22,0.5268,0.5081,0.3956,#868164,101.0,53
319,57.82,-9.14,2.51,0.4839,0.5629,0.5265,#7b8f86,164.7,176
320,53.01,-8.89,2.95,0.4397,0.5135,0.4754,#708279,161.6,92
321,60.48,-6.76,-1.11,0.5163,0.5864,0.5785,#839593,189.3,8
322,63.21,-8.67,2.9,0.5433,0.6174,0.5787,#8a9d93,161.5,141
323,55.84,-5.91,7.26,0.504,0.5352,0.4748,#808879,129.1,151
324,57.54,-9.06,12.34,0.5127,0.5576,0.4566,#828e74,126.3,100
325,64.59,-5.94,10.7,0.6031,0.6244,0.539,#999f89,119.0,57
326,60.84,-4.07,8.7,0.5722,0.5821,0.5152,#919483,115.1,51
327,77.88,-23.82,-9.77,0.488,0.8072,0.8225,#7ccdd1,202.3,12
328,71.52,-35.54,-8.67,0.2405,0.7577,0.7443,#3dc1bd,193.7,10
329,69.22,-23.14,-9.56,0.4032,0.7118,0.7272,#66b5b9,202.4,11
330,65.85,-11.01,-12.68,0.4811,0.654,0.7143,#7aa6b6,229.0,45
331,71.29,-11.66,-14.73,0.52,0.7137,0.7873,#84b5c8,231.6,48
332,68.65,-22.29,-24.68,0.263,0.7089,0.828,#43b4d3,227.9,5
333,71.57,-10.69,-29.88,0.4274,0.72,0.8984,#6cb7e5,250.3,4
334,74.24,-7.56,-19.99,0.5622,0.7386,0.8576,#8fbcda,249.3,19
335,47.64,-17.99,-22.6,0.0497,0.4832,0.5898,#0c7b96,231.5,64
336,53.19,-20.24,-22.07,0.1089,0.5427,0.6439,#1b8aa4,227.5,27
337,50.68,-23.02,-12.51,0.1636,0.5188,0.5537,#29848d,208.5,1
338,41.77,-10.59,-26.84,0.0775,0.4145,0.5577,#13698e,248.5,12
339,45.19,-3.82,-12.68,0.3408,0.4305,0.501,#566d7f,253.2,57
340,49.36,-3.52,-11.56,0.3893,0.4705,0.5357,#637788,253.1,42
341,65.94,-1.08,-25.93,0.5028,0.639,0.8089,#80a2ce,267.6,229
342,59.76,-0.43,-30.35,0.4146,0.5754,0.7723,#6992c4,269.2,449
343,57.91,0.15,-15.97,0.4846,0.55,0.6539,#7b8ca6,270.5,92
344,61.68,1.0,-24.06,0.4891,0.5896,0.7498,#7c96bf,272.4,68
345,64.51,-1.95,-16.27,0.5326,0.6225,0.7259,#879eb9,263.2,36
346,49.84,-0.98,-42.88,0.1367,0.4822,0.75,#227abf,268.7,35
347,55.22,-3.04,-38.0,0.2577,0.5378,0.7752,#4189c5,265.4,24
348,55.41,-3.45,-12.53,0.4451,0.5312,0.6042,#71879a,254.6,64
349,53.53,1.05,-19.69,0.4299,0.5052,0.6333,#6d80a1,273.1,280
350,51.01,1.75,-27.29,0.3665,0.4815,0.6578,#5d7aa7,273.7,20
351,50.63,4.77,-23.64,0.4122,0.4698,0.6296,#6977a0,281.4,62
