cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
78,46.24,11.66,-44.29,0.2863,0.4206,0.7213,#496bb7,284.8,10
79,45.92,2.26,-43.37,0.1384,0.4376,0.7111,#236fb5,273.0,17
80,43.76,12.34,-30.06,0.3726,0.3884,0.601,#5f6399,292.3,56
81,38.06,43.34,-43.71,0.4735,0.2449,0.6323,#783ea1,314.8,4
82,47.37,36.64,-30.51,0.5809,0.3529,0.6439,#9459a4,320.2,7
83,18.51,21.8,-36.31,0.1604,0.142,0.386,#282462,301.0,14
84,24.18,23.2,-41.01,0.1955,0.1888,0.4704,#313077,299.5,27
85,32.95,22.61,-43.39,0.2647,0.269,0.5751,#434492,297.5,69
86,26.64,10.84,-38.29,0.1029,0.2394,0.4778,#1a3d79,285.8,27
87,33.44,1.35,-19.89,0.2352,0.3117,0.4309,#3b4f6d,273.9,46
88,30.51,0.18,-14.15,0.2293,0.2852,0.3672,#3a485d,270.7,17
89,26.54,7.79,-20.85,0.2197,0.2369,0.3706,#383c5e,290.5,42
90,33.18,11.03,-25.09,0.2851,0.2907,0.4614,#484a75,293.7,36
91,68.73,6.84,-28.51,0.5916,0.6512,0.8586,#96a6da,283.5,24
92,66.93,14.89,-19.73,0.6785,0.6092,0.7779,#ad9bc6,307.0,33
93,62.32,16.03,-25.23,0.6156,0.5609,0.7662,#9c8fc3,302.4,33
94,60.03,-2.52,-15.51,0.4854,0.5772,0.6729,#7b93ab,260.8,81
95,60.53,21.74,-43.02,0.5528,0.5357,0.8705,#8c88dd,296.8,8
96,61.01,4.08,-31.94,0.4635,0.5789,0.7972,#7693cb,277.3,5
97,73.95,-3.62,-27.02,0.5562,0.7296,0.9052,#8dbae6,262.4,32
98,64.2,-5.41,-30.2,0.4077,0.6316,0.8194,#67a1d0,259.8,11
99,65.33,-1.92,-17.39,0.5358,0.6314,0.7425,#88a1bd,263.7,41
100,69.4,-6.79,-15.96,0.5409,0.684,0.776,#89aec5,246.9,7
101,62.85,-14.85,-11.89,0.4155,0.6298,0.6766,#69a0ac,218.7,12
102,66.51,-9.69,-2.94,0.5462,0.6555,0.6534,#8ba7a6,196.9,24
103,60.12,-8.61,-0.3,0.5008,0.5861,0.569,#7f9591,182.0,42
104,48.2,-7.94,-1.66,0.3836,0.4648,0.4585,#617674,191.8,17
105,48.5,-0.74,-3.23,0.4357,0.454,0.4726,#6f7378,257.0,8
106,53.96,-12.92,-15.5,0.3212,0.5357,0.6083,#51889b,230.2,3
107,43.98,-18.93,-18.54,0.0435,0.447,0.5256,#0b7186,224.4,7
108,39.23,-33.49,12.78,0.0785,0.4135,0.2767,#146946,159.1,17
109,33.16,-24.35,-2.02,0.0154,0.3456,0.3158,#035850,184.7,2
110,42.48,-26.23,-1.31,0.126,0.4385,0.3987,#206f65,182.9,7
111,49.28,-16.53,9.45,0.3647,0.4886,0.3947,#5c7c64,150.2,6
112,53.08,-7.6,20.61,0.4982,0.508,0.357,#7f815b,110.3,4
113,52.37,-6.97,8.17,0.4645,0.5021,0.4344,#76806e,130.5,10
114,56.86,-43.07,18.16,0.1725,0.6057,0.405,#2b9a67,157.1,11
115,47.87,-38.03,12.27,0.0931,0.5064,0.3598,#17815b,162.1,17
116,54.58,60.17,28.47,0.9018,0.2946,0.3337,#e54b55,25.3,29
117,58.19,67.31,5.04,0.9552,0.3013,0.5251,#f34c85,4.3,8
118,61.92,59.61,16.07,0.9758,0.3844,0.4872,#f8627c,15.1,7
119,57.39,46.76,13.7,0.8504,0.3965,0.4557,#d86574,16.3,15
120,70.57,31.2,29.64,0.9424,0.5859,0.4725,#f09578,43.5,11
121,64.7,49.31,21.07,0.9613,0.4606,0.4784,#f57579,23.1,45
122,62.73,51.73,31.61,0.9624,0.4264,0.3871,#f56c62,31.4,28
123,68.72,22.54,2.11,0.818,0.5998,0.6457,#d098a4,5.3,67
124,58.73,20.57,1.65,0.6951,0.5029,0.5455,#b1808b,4.6,7
125,71.33,38.34,0.4,0.9417,0.5784,0.6875,#f093af,0.6,36
126,64.62,37.03,11.59,0.878,0.509,0.5402,#df8189,17.4,53
127,70.66,39.82,15.13,0.9709,0.5616,0.5778,#f78f93,20.8,60
128,77.88,20.67,18.49,0.9458,0.6973,0.6249,#f1b19f,41.8,4
129,75.75,24.61,10.33,0.9293,0.6655,0.6619,#eca9a8,22.8,33
130,74.06,31.04,6.92,0.9427,0.629,0.6692,#f0a0aa,12.6,16
