cluster_id,n_products,lab_l,lab_a,lab_b,hex_color,hue_angle,freq_pct,freq_deviation_pp,n_discounted,freq_z,freq_pval,freq_testable,depth_pct,depth_deviation_pp,n_discounted_depth,depth_t,depth_pval,depth_testable,r,g,b,freq_significant,depth_significant
29,35,40.26,0.4,-0.59,#5f5e5f,304.0,31.428571428571427,-19.8804178114523,11.0,-2.3530892775917858,0.01861816336935124,True,35.407925407925404,-6.88191906220824,11,-1.5259717613686112,0.15800225634105766,True,0.3729,0.3714,0.3757,True,False
30,29,34.34,2.84,3.1,#574f4b,47.5,20.689655172413794,-30.619334067609937,6.0,-3.2989339120801797,0.0009705275721827026,True,,,6,,,False,0.3429,0.3101,0.2978,True,False
31,42,32.98,5.59,-1.9,#554a50,341.3,40.476190476190474,-10.832798763833251,17.0,-1.4045726128150924,0.1601484052902763,True,48.80526720492118,6.515422734787535,17,1.9701041374775794,0.06638675953246972,True,0.3343,0.2931,0.3162,False,False
32,57,39.54,12.49,2.45,#725559,11.1,57.89473684210527,6.585747602081538,33.0,0.9947670362739033,0.3198495819854008,True,38.05318962786857,-4.236654842265075,33,-2.3804546252804704,0.02341547990482309,True,0.4491,0.3367,0.3513,False,False
33,14,44.31,13.95,10.59,#855f57,37.2,28.57142857142857,-22.737560668595158,4.0,-1.7021066325221188,0.08873538081973852,True,,,4,,,False,0.5222,0.3763,0.3445,False,False
34,8,47.53,8.23,0.48,#7f6c70,3.4,,,,,,False,,,4,,,False,0.4983,0.4238,0.4399,False,False
35,13,47.7,9.18,13.35,#886b5b,55.5,,,,,,False,,,7,,,False,0.5345,0.42,0.3576,False,False
36,14,47.55,1.53,3.57,#766f6a,66.8,0.0,-51.30898924002373,0.0,-3.840929647922796,0.00012256924157832158,True,,,0,,,False,0.4631,0.4382,0.4191,True,False
37,6,41.92,3.99,8.26,#6e6055,64.2,,,,,,False,,,4,,,False,0.4347,0.3774,0.3355,False,False
38,34,33.06,10.53,11.93,#63473b,48.6,67.64705882352942,16.33806958350569,23.0,1.9059832303479993,0.056652381412922684,True,52.413421588326074,10.12357711819243,23,3.7787627982865195,0.0010329571645066329,True,0.3919,0.2794,0.2331,False,True
