cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
77,24.99,20.72,2.62,0.3497,0.1823,0.2198,#592e38,7.2,20
78,16.44,15.32,-1.86,0.2356,0.1264,0.1715,#3c202b,353.1,26
79,18.09,14.12,-9.82,0.2267,0.1458,0.2295,#39253a,325.2,32
80,17.78,11.28,5.45,0.2406,0.146,0.1417,#3d2524,25.8,33
81,20.62,10.6,7.16,0.2659,0.171,0.1552,#432b27,34.1,49
82,16.69,6.6,1.69,0.2015,0.1485,0.153,#332527,14.4,33
83,23.73,4.44,3.9,0.2566,0.2119,0.1993,#413632,41.3,14
84,22.3,16.77,14.09,0.3197,0.168,0.1302,#512a21,40.0,86
85,24.3,8.31,15.05,0.2999,0.2064,0.1391,#4c3423,61.1,15
86,29.85,10.89,9.2,0.3581,0.2502,0.2217,#5b3f38,40.2,32
87,28.26,33.84,6.39,0.45,0.1627,0.2284,#72293a,10.7,21
88,30.57,37.81,16.67,0.5037,0.1634,0.1884,#802930,23.8,22
89,20.27,38.79,20.07,0.3971,0.0392,0.0855,#650915,27.4,12
90,20.33,26.7,8.19,0.3381,0.1186,0.1497,#561e26,17.1,178
91,12.89,24.84,9.62,0.2576,0.059,0.083,#410f15,21.2,17
92,44.97,5.2,-32.57,0.3014,0.4173,0.6295,#4c6aa0,279.1,39
93,42.63,13.26,-51.29,0.172,0.3864,0.7291,#2b62b9,284.5,176
94,49.95,11.61,-50.76,0.2573,0.4601,0.8056,#4175cd,282.9,15
95,45.99,5.35,-47.54,0.1253,0.434,0.7401,#1f6ebc,276.4,50
96,50.27,32.34,-50.04,0.4897,0.4071,0.8057,#7c67cd,302.9,6
97,41.73,26.23,-50.45,0.3396,0.344,0.7146,#5657b6,297.5,39
98,38.61,10.53,-24.83,0.335,0.3418,0.5141,#555783,293.0,62
99,46.95,2.32,-18.52,0.3813,0.4371,0.5575,#616f8e,277.1,11
100,45.61,15.61,-32.49,0.4049,0.3993,0.6365,#6765a2,295.7,33
101,40.27,10.44,-2.7,0.4317,0.3499,0.3904,#6e5963,345.5,20
102,30.71,13.02,-13.75,0.3236,0.2593,0.3678,#52425d,313.4,5
103,34.7,4.7,-6.09,0.3323,0.3119,0.3579,#544f5b,307.6,53
104,28.45,4.43,-5.95,0.2737,0.2558,0.299,#45414c,306.6,152
