cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
213,48.07,72.07,43.98,0.8868,0.0754,0.1748,#e2132c,31.4,102
214,44.04,63.64,54.63,0.8006,0.122,0.035,#cc1f08,40.6,7
215,39.16,62.64,39.62,0.7295,0.038,0.1238,#ba091f,32.3,74
216,33.6,56.16,33.98,0.6305,0.032,0.1125,#a0081c,31.2,32
217,33.39,51.99,25.68,0.6056,0.0937,0.1617,#9a1729,26.3,36
218,37.93,43.97,22.44,0.6198,0.2056,0.2179,#9e3437,27.0,16
219,41.12,54.97,29.37,0.7133,0.1702,0.205,#b52b34,28.1,18
220,60.27,-2.42,-20.42,0.4631,0.5811,0.7092,#7694b4,263.2,22
221,52.22,1.29,-48.81,0.095,0.504,0.8168,#1880d0,271.5,5
222,58.93,-4.52,-45.21,0.1581,0.5817,0.866,#2894dc,264.3,21
223,68.11,-18.09,-31.54,0.2414,0.6979,0.871,#3db1de,240.2,7
224,64.43,-10.49,-41.0,0.1906,0.6485,0.8975,#30a5e4,255.7,12
225,70.56,2.63,-32.8,0.5458,0.682,0.9092,#8bade7,274.6,68
226,74.64,-2.8,-26.96,0.5724,0.7352,0.9126,#91bbe8,264.1,60
227,71.26,-2.88,-13.71,0.6069,0.6946,0.7806,#9ab1c7,258.1,39
228,66.27,-7.19,-21.5,0.4723,0.6537,0.7809,#78a6c7,251.5,19
229,72.59,-31.89,-7.11,0.3393,0.7629,0.7452,#56c2be,192.6,20
230,78.32,-17.48,-8.33,0.571,0.7993,0.8176,#91cbd0,205.5,53
231,72.93,-13.31,-22.43,0.4697,0.7371,0.86,#77bbdb,239.3,16
232,75.87,-21.6,-22.05,0.397,0.7848,0.8891,#65c8e2,225.6,11
233,79.56,-10.63,-17.13,0.6049,0.8016,0.8957,#9acce4,238.2,20
234,73.99,-11.08,-10.62,0.5762,0.7401,0.7874,#92bcc8,223.8,17
235,63.28,-34.78,-11.58,0.008,0.6683,0.677,#02aaac,198.4,30
236,65.62,-17.32,-6.07,0.4518,0.6619,0.6651,#73a8a9,199.3,10
237,61.16,-10.77,-2.27,0.4854,0.6017,0.5931,#7b9997,191.9,9
238,58.37,-17.88,-10.67,0.343,0.5884,0.6208,#57969e,210.8,26
239,54.09,-14.38,-4.95,0.3699,0.5367,0.5386,#5e8889,199.0,24
240,50.84,-15.3,-9.93,0.2997,0.5067,0.5387,#4c8189,213.0,65
241,54.39,-29.1,-12.33,0.0381,0.5663,0.59,#099096,203.0,35
242,90.15,-3.48,14.63,0.9088,0.8935,0.7799,#e7e3c6,103.4,37
243,91.97,-6.2,4.85,0.8765,0.9227,0.8724,#dfebde,142.0,15
244,81.88,-17.26,7.59,0.6836,0.8337,0.7405,#aed4bc,156.3,3
245,88.08,-8.61,-2.75,0.7849,0.8868,0.8854,#c8e2e1,197.7,58
246,61.21,-3.76,-1.43,0.5461,0.5878,0.5886,#8b9596,200.9,13
247,60.49,0.06,1.74,0.5778,0.5713,0.5599,#93918e,88.1,48
248,56.02,-8.64,6.48,0.4831,0.5426,0.4815,#7b8a7a,143.1,5
249,68.79,-6.98,4.37,0.6192,0.6721,0.6264,#9dab9f,148.0,53
250,65.98,3.29,5.24,0.6683,0.6198,0.5926,#aa9e97,57.9,21
251,69.31,0.8,0.61,0.6715,0.6615,0.6593,#aba8a8,37.2,85
252,64.2,1.17,9.94,0.6475,0.6049,0.5413,#a59a8a,83.3,38
253,68.3,0.0,10.15,0.6832,0.6503,0.5816,#aea594,90.0,48
254,74.24,0.46,16.45,0.7666,0.7105,0.5982,#c3b598,88.4,15
255,67.91,2.79,15.23,0.7112,0.6387,0.5423,#b5a28a,79.6,32
256,72.09,-5.37,-2.62,0.6414,0.7055,0.7107,#a3b3b5,206.0,31
257,63.72,-2.49,-12.84,0.536,0.6144,0.6936,#889cb0,259.0,35
258,69.85,-1.39,-5.93,0.6374,0.6741,0.7108,#a2abb5,256.8,23
259,76.19,-4.46,1.64,0.7076,0.7462,0.7242,#b4beb8,159.8,22
260,81.54,-3.96,-1.35,0.7583,0.804,0.8038,#c1cdcc,198.8,73
261,83.75,0.14,0.23,0.8205,0.8183,0.8169,#d1d0d0,58.8,472
262,76.68,0.16,1.55,0.7483,0.7412,0.7308,#bebdba,84.1,255
263,84.56,-2.79,-10.98,0.7621,0.8373,0.9075,#c2d5e7,255.8,89
264,87.34,-1.29,-6.13,0.825,0.863,0.9031,#d2dce6,258.1,51
265,78.88,2.07,-11.96,0.7372,0.7645,0.8522,#bbc2d9,279.8,24
266,78.51,-3.22,-13.12,0.6835,0.773,0.8559,#aec5da,256.2,31
267,89.62,-3.76,-0.93,0.8496,0.8924,0.8896,#d8e3e2,193.9,40
268,91.25,1.1,-2.63,0.9009,0.8996,0.9211,#e5e5ea,292.7,1369
269,92.36,0.23,0.18,0.9163,0.9132,0.9124,#e9e8e8,37.8,338
270,91.74,2.1,5.48,0.9416,0.9004,0.8663,#f0e5dc,69.1,25
271,90.96,-0.58,3.65,0.9062,0.8986,0.871,#e7e5de,99.0,626
272,85.87,0.44,6.03,0.8651,0.8392,0.7976,#dcd5cb,85.8,224
273,81.75,2.97,4.49,0.8339,0.7886,0.7645,#d4c9c2,56.6,132
274,88.6,4.03,9.6,0.9331,0.8597,0.8016,#eddbcc,67.2,49
275,85.11,7.53,12.47,0.9269,0.8119,0.7431,#eccfbd,58.9,62
276,80.43,5.58,17.05,0.8721,0.7647,0.6594,#dec3a8,71.9,100
277,82.17,3.06,19.38,0.8795,0.7892,0.6603,#e0c9a8,81.0,16
278,85.0,1.18,13.89,0.8838,0.8258,0.7304,#e1d2ba,85.1,22
