cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
322,49.84,4.64,2.54,0.5037,0.454,0.4486,#807372,28.7,49
323,56.64,4.74,8.63,0.5892,0.5199,0.4749,#968479,61.2,16
324,58.29,1.79,2.87,0.571,0.5447,0.5301,#918a87,58.0,63
325,55.03,10.6,29.9,0.6472,0.4856,0.3146,#a57b50,70.5,45
326,56.46,23.93,48.23,0.7558,0.461,0.1941,#c07531,63.6,3
327,52.05,13.48,47.55,0.6486,0.4466,0.1514,#a57126,74.2,24
328,45.44,8.96,35.68,0.5409,0.3952,0.1838,#89642e,75.9,13
329,41.4,18.79,37.86,0.5499,0.3311,0.1338,#8c5422,63.6,11
330,56.82,-14.79,37.9,0.5202,0.5571,0.2666,#848e43,111.3,22
331,59.08,-7.64,18.36,0.5541,0.5694,0.4305,#8d916d,112.6,9
332,52.7,-3.46,17.59,0.5156,0.4965,0.3747,#837e5f,101.1,40
333,42.42,1.48,21.46,0.4495,0.3851,0.2539,#726240,86.0,21
334,46.06,8.78,22.93,0.531,0.4033,0.2788,#876647,69.1,6
335,45.65,3.41,15.67,0.4835,0.413,0.3222,#7b6952,77.7,20
336,48.77,-1.79,12.72,0.4762,0.455,0.3702,#79745e,98.0,24
337,46.6,-0.55,18.82,0.4749,0.4301,0.3095,#796d4e,91.7,61
338,50.27,0.32,22.09,0.5236,0.4636,0.3218,#857652,89.2,85
339,46.45,-1.8,30.01,0.4839,0.4295,0.2311,#7b6d3a,93.4,9
340,42.22,-1.15,15.6,0.4214,0.3897,0.2902,#6b6349,94.2,44
