instance_id,archive_id,cluster_id,lab_l,lab_a,lab_b,perc,is_discounted,discount_depth,price_std,price_curr
8,1,103,17.960327074500306,1.9198465576418333,-1.9198465576418333,99.05999999999999,False,0.0,70,70
11,1,285,34.731399999999994,-11.373899999999999,-5.438300000000001,100.0,False,0.0,80,80
12,1,331,59.91868060091443,-7.0,18.571630742434138,91.86,False,0.0,60,60
16,1,229,84.48303309593632,0.0,5.241516547968161,95.47999999999999,False,0.0,100,100
17,1,90,12.275599999999997,2.0,-0.8248999999999999,100.00000000000001,False,0.0,60,60
18,1,229,81.17501750175019,-0.4391439143914391,0.6003600360036003,99.99,False,0.0,45,45
19,1,300,26.98433845215092,-9.87867385335096,-5.0,98.33,False,0.0,70,70
20,1,89,15.931931931931933,0.9643643643643643,-0.9287287287287287,99.9,False,0.0,45,45
22,1,232,91.27599999999998,-0.6429,3.4519,100.0,False,0.0,120,120
23,1,118,66.81598159815981,21.578357835783574,6.022202220222021,99.99000000000001,False,0.0,35,35
26,1,105,28.915200000000002,1.0,-1.6832000000000003,99.99999999999999,False,0.0,50,50
29,1,91,7.106689331066894,2.484951504849515,-1.6396360363963605,100.00999999999999,False,0.0,70,70
31,1,90,12.561599999999999,1.0,-0.6631999999999999,100.0,False,0.0,50,50
35,1,297,33.9309,-24.0411,-2.0261,100.0,False,0.0,55,55
37,1,105,27.669933006699328,2.0,-2.3762623737626236,100.01,False,0.0,65,65
38,1,89,14.483548354835483,0.031103110311031103,-0.0204020402040204,99.99000000000001,False,0.0,85,85
40,1,320,49.022999999999996,0.0,-0.4532,100.00000000000001,False,0.0,35,35
41,1,95,18.201084689194825,2.0,-2.746662494785148,95.88000000000001,False,0.0,45,45
42,1,226,92.47074734522141,1.0188339010218392,-2.4325786415547985,99.82,False,0.0,35,35
43,1,232,92.72635425623388,-1.0849097162510748,2.339638865004299,93.04,False,0.0,35,35
46,1,203,65.27638627479368,8.906326914724195,17.886781525988127,69.07,True,30.0,80,56
48,1,317,57.8595,2.0,-2.0144,99.99999999999999,False,0.0,70,70
50,1,95,16.8856,3.856,-2.928,100.0,False,0.0,150,150
51,1,89,18.905300000000004,0.0,-0.2922,99.99999999999999,True,20.0,55,44
54,1,103,22.023399999999995,1.6866999999999999,-2.6245999999999996,100.0,False,0.0,70,70
55,1,95,12.446070956592456,1.6797804208600182,-1.6590423909728573,98.37,False,0.0,70,70
