cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
76,80.06,-2.08,-20.57,0.674,0.7897,0.9272,#abc9ec,264.2,54
77,74.21,-2.05,-25.75,0.5825,0.7284,0.8991,#94b9e5,265.5,134
78,78.37,31.35,-12.81,0.9441,0.6807,0.8563,#f0adda,337.8,42
79,84.42,23.91,-10.38,0.9692,0.7673,0.905,#f7c3e6,336.5,73
80,71.19,6.21,0.66,0.7311,0.6687,0.6794,#baaaad,6.1,455
81,64.69,7.54,1.13,0.6725,0.5975,0.6083,#ab989b,8.6,144
82,69.14,12.12,4.83,0.7615,0.6314,0.6295,#c2a1a0,21.7,56
83,73.22,16.82,-6.77,0.8054,0.6655,0.755,#cda9c0,338.1,38
84,71.56,9.38,-12.37,0.7146,0.6689,0.7758,#b6aac5,307.2,28
85,59.59,-28.73,-12.23,0.1687,0.6199,0.6433,#2b9ea4,203.1,11
86,60.05,-35.51,-1.45,0.1682,0.6325,0.5733,#2aa192,182.3,7
87,71.52,-23.26,-5.17,0.4551,0.7356,0.7207,#74bbb7,192.5,6
88,77.86,-18.41,-3.74,0.5808,0.7949,0.7793,#94cac6,191.5,11
89,76.32,-15.4,-12.36,0.5486,0.7746,0.8249,#8bc5d2,218.7,17
90,83.0,-7.5,-1.85,0.7429,0.828,0.8229,#bdd3d1,193.8,23
91,82.11,-11.88,-12.05,0.6476,0.8306,0.887,#a5d3e2,225.4,17
92,80.34,-7.5,-7.16,0.6922,0.8003,0.8323,#b0ccd4,223.7,117
93,70.44,-12.84,-8.76,0.5316,0.7051,0.7357,#87b3bb,214.3,10
94,65.06,-7.21,-3.16,0.5513,0.6353,0.64,#8ca2a3,203.7,30
95,68.87,-5.22,1.11,0.6226,0.67,0.6503,#9eaaa5,168.0,56
96,75.94,-6.24,-0.79,0.6818,0.7482,0.7388,#adbebc,187.2,14
97,57.83,0.68,-2.0,0.5433,0.5439,0.5584,#8a8a8e,288.9,50
98,61.95,-1.34,-4.07,0.5629,0.5909,0.6146,#8f969c,251.8,16
99,63.97,0.75,-2.97,0.6034,0.6069,0.6283,#999aa0,284.2,187
100,51.84,-12.24,7.23,0.4166,0.5071,0.4349,#6a816e,149.4,22
101,49.37,-6.97,2.99,0.419,0.4734,0.4395,#6a7870,156.7,22
102,51.94,-1.09,3.21,0.4876,0.4871,0.464,#7c7c76,108.7,22
103,63.0,-5.99,2.11,0.5594,0.61,0.5823,#8e9b94,160.6,331
104,54.38,-5.47,-4.76,0.4516,0.5226,0.5412,#738589,221.0,30
105,58.02,-6.98,0.87,0.497,0.561,0.5399,#7e8f89,172.9,141
106,54.37,-14.57,-30.35,0.1191,0.5479,0.7129,#1e8bb5,244.4,115
107,49.39,-11.69,-18.06,0.2686,0.4883,0.5783,#447c93,237.1,6
108,45.52,-9.43,-31.56,0.0696,0.4508,0.6275,#1172a0,253.4,12
109,49.74,-1.03,-42.51,0.142,0.4811,0.7465,#247abe,268.6,24
110,67.92,-19.09,-23.25,0.3277,0.6948,0.8102,#53b1ce,230.6,4
111,61.16,-18.35,-27.0,0.203,0.6234,0.7628,#339ec2,235.8,89
112,65.06,-5.15,-19.71,0.4906,0.6362,0.7555,#7da2c0,255.4,33
113,67.53,-1.58,-36.8,0.4363,0.661,0.9032,#6fa8e6,267.5,14
114,53.74,4.61,-36.73,0.356,0.5064,0.751,#5a81bf,277.2,2
115,58.2,-5.18,-15.83,0.4413,0.5641,0.6556,#708fa7,251.9,95
116,55.02,-46.09,19.91,0.081,0.59,0.3746,#14965f,156.6,22
117,45.77,-39.14,14.53,0.0479,0.4861,0.3247,#0c7b52,159.6,62
118,40.87,-37.73,17.42,0.0401,0.4344,0.2604,#0a6e42,155.2,49
119,33.47,-18.72,-7.59,0.0842,0.342,0.3534,#15575a,202.1,46
120,39.9,-14.55,-5.05,0.2296,0.3963,0.399,#3a6565,199.1,13
121,37.99,-28.76,4.89,0.0825,0.3966,0.3166,#156550,170.4,12
122,28.86,-14.98,7.47,0.1822,0.2905,0.22,#2e4a38,153.5,16
123,17.53,-9.65,-8.22,0.0485,0.1858,0.2137,#0c2f36,220.4,2
124,28.54,-14.95,-5.65,0.1101,0.2902,0.2962,#1c494b,200.7,51
125,15.4,-10.64,4.93,0.0947,0.1664,0.1227,#182a1f,155.1,65
126,18.84,-16.87,8.37,0.0811,0.2034,0.1301,#143321,153.6,116
127,57.85,33.49,21.89,0.7958,0.449,0.4022,#ca7266,33.2,8
128,55.53,25.03,18.62,0.7182,0.4534,0.4002,#b77366,36.6,53
129,58.86,56.39,27.01,0.9341,0.3638,0.3828,#ee5c61,25.6,26
130,55.9,66.42,44.62,0.9609,0.2643,0.2371,#f5433c,33.9,29
131,52.89,67.6,35.89,0.9227,0.2187,0.2711,#eb3745,28.0,126
132,57.91,55.75,51.89,0.9384,0.3513,0.1947,#ef5931,42.9,60
133,51.06,51.37,51.41,0.8307,0.3001,0.1303,#d34c21,45.0,11
134,52.18,62.54,47.13,0.8962,0.246,0.1828,#e43e2e,37.0,22
135,52.1,29.99,4.39,0.6839,0.4075,0.4623,#ae6775,8.3,25
136,46.88,30.17,20.78,0.6522,0.3513,0.3053,#a6594d,34.6,4
137,44.58,42.3,12.83,0.6779,0.2843,0.3379,#ac4856,16.9,15
138,49.22,38.87,18.99,0.7212,0.3434,0.3407,#b75756,26.0,35
139,40.76,63.89,33.6,0.7521,0.0598,0.1783,#bf0f2d,27.7,293
140,40.25,40.77,25.24,0.6338,0.2442,0.2194,#a13e37,31.8,27
141,40.32,62.32,42.1,0.7435,0.074,0.1156,#bd121d,34.0,21
142,44.66,67.02,34.12,0.8151,0.0939,0.2096,#cf1735,27.0,378
143,50.1,62.35,26.74,0.8556,0.2274,0.3044,#da394d,23.2,39
144,49.64,63.35,38.27,0.863,0.2101,0.224,#dc3539,31.1,45
145,68.82,56.2,-22.99,0.9636,0.4932,0.8262,#f57dd2,337.8,15
146,68.38,38.42,-2.0,0.9028,0.5478,0.673,#e68bab,357.0,24
147,61.53,63.7,-26.19,0.9142,0.3796,0.7695,#e960c4,337.6,31
148,62.77,63.28,-10.08,0.9632,0.3862,0.673,#f562ab,350.9,22
149,56.51,56.71,-4.69,0.8635,0.3484,0.5707,#dc5891,355.3,53
150,51.4,73.58,5.89,0.9047,0.1515,0.4536,#e62673,4.6,26
151,50.56,62.57,-5.53,0.8228,0.2473,0.5168,#d13f83,355.0,79
152,54.85,49.51,14.69,0.8362,0.3576,0.4249,#d55b6c,16.5,25
153,60.7,52.55,8.75,0.9132,0.4079,0.5228,#e86885,9.5,60
154,60.37,43.47,13.17,0.8669,0.441,0.488,#dd707c,16.9,37
155,63.75,40.46,15.56,0.8937,0.4867,0.5049,#e37c80,21.0,48
156,59.09,7.36,1.61,0.6139,0.5404,0.5475,#9c898b,12.3,66
157,58.87,13.3,6.47,0.6625,0.5223,0.5132,#a88582,25.9,35
158,44.68,14.15,-3.68,0.4957,0.383,0.4397,#7e6170,345.4,15
159,49.62,15.68,2.87,0.5716,0.4251,0.4458,#916c71,10.4,28
160,53.6,25.06,-29.45,0.5729,0.4504,0.7019,#9272b2,310.4,10
161,53.34,9.23,-22.77,0.4809,0.4862,0.6527,#7a7ba6,292.1,26
162,50.94,13.53,-18.5,0.5072,0.4504,0.5994,#817298,306.2,9
163,62.91,26.98,-28.21,0.6904,0.5382,0.7945,#b089ca,313.7,5
164,63.66,13.05,-18.78,0.6339,0.5798,0.7357,#a193bb,304.8,60
165,56.66,11.69,-10.31,0.5821,0.509,0.6038,#948199,318.6,6
166,60.05,36.95,-13.2,0.7727,0.4709,0.6619,#c578a8,340.3,6
167,61.5,29.18,-20.05,0.7195,0.5136,0.7231,#b782b8,325.5,28
168,28.27,11.96,-36.14,0.1659,0.2499,0.4809,#2a3f7a,288.3,58
169,24.17,22.5,-45.82,0.1395,0.1942,0.4998,#23317f,296.2,166
170,32.69,-2.01,-13.81,0.2326,0.3091,0.3858,#3b4e62,261.7,8
171,28.71,2.24,-26.36,0.1492,0.2695,0.4245,#26446c,274.9,31
172,21.5,15.43,-26.25,0.2025,0.1782,0.355,#332d5a,300.4,6
173,17.21,24.78,-28.79,0.2132,0.1162,0.3298,#361d54,310.7,217
174,22.81,38.94,-58.88,0.1658,0.1376,0.568,#2a2390,303.5,39
175,19.88,23.99,-44.59,0.1185,0.153,0.4491,#1e2772,298.3,275
176,17.73,33.09,-48.64,0.1501,0.1068,0.4524,#261b73,304.2,55
177,34.99,37.7,-37.97,0.4298,0.2343,0.5629,#6d3b8f,314.8,15
178,29.5,27.77,-36.41,0.3151,0.2182,0.496,#50377e,307.3,1
179,36.63,46.75,-27.86,0.535,0.202,0.5165,#883383,329.2,2
180,45.38,38.84,-38.92,0.5417,0.3305,0.6784,#8a54ac,314.9,32
181,45.2,13.95,-19.72,0.4478,0.394,0.5485,#72648b,305.3,17
182,39.97,16.44,-18.58,0.4176,0.3376,0.4885,#6a567c,311.5,21
183,35.36,4.4,-12.56,0.3133,0.3206,0.4043,#4f5167,289.3,75
184,39.78,1.51,-15.78,0.3187,0.369,0.4675,#515e77,275.5,9
185,37.39,13.63,-34.35,0.2933,0.3275,0.5627,#4a538f,291.6,66
186,40.56,6.73,-45.44,0.106,0.3782,0.6677,#1b60aa,278.4,118
187,46.02,1.14,-42.15,0.1382,0.4402,0.704,#2370b3,271.5,56
188,43.82,5.69,-32.03,0.2987,0.405,0.614,#4c679c,280.1,12
189,46.98,-1.23,-14.9,0.3695,0.4435,0.5337,#5e7188,265.3,31
190,43.84,15.52,-33.26,0.3818,0.3829,0.623,#61619e,295.0,45
191,48.12,15.95,-35.35,0.4171,0.424,0.6821,#6a6cad,294.3,45
192,39.47,-4.26,-5.09,0.3164,0.3741,0.3962,#505f65,230.1,36
193,46.47,-5.66,-5.46,0.3702,0.4445,0.4666,#5e7176,224.0,59
194,51.1,4.02,-10.34,0.4708,0.4715,0.5461,#78788b,291.3,12
195,44.46,4.54,-10.92,0.4073,0.4057,0.4831,#67677b,292.6,94
196,51.23,0.9,-0.51,0.4833,0.4768,0.482,#7b797a,330.3,155
197,46.25,0.94,2.96,0.4446,0.4269,0.4104,#716c68,72.4,33
198,45.55,1.27,-1.95,0.4255,0.4206,0.4355,#6c6b6f,303.0,165
199,45.94,6.19,4.2,0.4789,0.4121,0.4,#7a6966,34.2,42
200,39.45,4.81,10.05,0.4193,0.3519,0.3014,#6a594c,64.4,29
201,33.74,0.03,0.0,0.3113,0.311,0.311,#4f4f4f,7.8,268
202,40.58,0.77,-0.69,0.3783,0.3737,0.3795,#605f60,318.3,306
203,35.56,1.25,-3.83,0.3245,0.3264,0.3518,#525359,288.1,77
204,33.82,3.88,-4.63,0.3234,0.3051,0.3406,#524d56,310.0,24
205,37.71,2.48,-1.18,0.3609,0.3432,0.3556,#5c575a,334.5,177
206,26.45,49.63,-19.33,0.4626,0.0473,0.3644,#750c5c,338.7,8
207,21.49,25.88,2.03,0.3386,0.1342,0.1938,#562231,4.5,76
208,19.6,33.72,9.52,0.3618,0.0761,0.1379,#5c1323,15.8,107
209,24.37,36.44,10.74,0.4249,0.1095,0.1707,#6c1b2b,16.4,147
210,32.33,41.15,12.16,0.534,0.1653,0.2312,#882a3a,16.5,27
211,30.74,53.33,23.14,0.5786,0.0247,0.1556,#930627,23.5,45
