instance_id,archive_id,cluster_id,lab_l,lab_a,lab_b,perc,is_discounted,discount_depth,price_std,price_curr
12810,4,77,76.72869999999999,-2.1312,-25.6597,100.0,False,0.0,40,40
12811,4,14,88.7068418667875,-27.327594019030364,45.54599003171727,88.28,False,0.0,40,40
12812,4,235,10.641588925669577,1.0536663657337748,-2.9999999999999996,99.69,False,0.0,25,25
12813,4,239,11.69241573033708,5.897471910112359,-13.84620786516854,99.68,False,0.0,25,25
12814,4,169,22.3833,24.684800000000006,-46.8293,100.0,False,0.0,25,25
12815,4,10,73.95989999999999,-53.9062,21.8759,100.0,False,0.0,25,25
12816,4,249,29.447043469531174,0.0,-4.676739283204498,99.61,False,0.0,25,25
12818,4,66,90.4974974974975,1.0,-2.0,99.9,False,0.0,25,25
12828,4,66,90.21740436611258,1.0,-2.0,99.85999999999999,True,22.5,40,31
12829,4,124,29.715000000000003,-16.335700000000003,-5.8765,100.0,True,25.0,40,30
12830,4,239,14.192392392392392,5.895895895895897,-13.895195195195198,99.89999999999999,True,22.5,40,31
12831,4,77,70.98870112988702,-2.154184581541846,-27.621737826217384,100.00999999999999,False,0.0,40,40
12834,4,72,76.86288628862886,2.9999999999999996,-10.33233323332333,99.99000000000001,True,22.5,40,31
12835,4,235,11.481782595603732,1.668774465522433,-3.0,99.63000000000001,False,0.0,30,30
12836,4,239,10.96286631874749,4.818346045764753,-12.37474909674829,99.64,False,0.0,30,30
12837,4,201,31.824534942182,0.0,0.0,99.45,False,0.0,30,30
12838,4,207,19.935000000000002,26.165599999999998,3.2839000000000005,100.0,False,0.0,30,30
12839,4,139,41.730000000000004,66.0721,31.8043,99.99999999999999,False,0.0,30,30
12840,4,169,23.386161383861612,23.499850014998497,-46.6012398760124,100.01,False,0.0,30,30
12841,4,173,19.0213,26.897499999999994,-30.975700000000003,100.0,False,0.0,30,30
12842,4,125,15.382084461831678,-13.667067910522618,7.603671381281973,99.69000000000001,False,0.0,30,30
12843,4,208,17.871287128712872,35.5033503350335,11.09110911091109,99.99000000000001,False,0.0,30,30
12844,4,66,91.08849115088489,1.0676932306769322,-2.0,100.01000000000002,False,0.0,60,60
12845,4,67,92.3734,1.0,-2.0088999999999997,100.00000000000001,False,0.0,60,60
12846,4,66,88.17049999999999,1.1091000000000002,-2.0559,100.0,False,0.0,60,60
12847,4,67,96.33650857314748,1.0,-2.0,99.73,False,0.0,60,60
12848,4,77,75.44755174154467,-2.937203432609793,-26.65825340737001,99.05,False,0.0,60,60
12849,4,238,14.650733078931513,2.0,-3.0,99.58,False,0.0,60,60
12850,4,64,77.38487697539507,-0.03190638127625525,0.19193838767753552,99.98,False,0.0,60,60
12851,4,147,61.32063206320631,64.34703470347036,-25.502650265026507,99.99,False,0.0,60,60
12853,4,126,18.426321596950544,-15.922860868692947,7.922860868692949,99.69,False,0.0,60,60
12854,4,142,46.2854,71.96539999999999,36.4345,100.0,False,0.0,30,30
12855,4,238,11.548267574604447,1.5119166833566995,-3.0,99.86,False,0.0,30,30
12856,4,66,88.40025997400261,1.0,-2.0274972502749726,100.01,False,0.0,30,30
12871,4,65,85.80891910808917,0.9883011698830116,-10.051894810518949,100.01,False,0.0,25,25
12872,4,148,64.13499999999999,63.8575,-10.5661,100.0,False,0.0,25,25
12873,4,235,10.35232849273911,1.487130696044066,-3.17386079118678,99.85,False,0.0,25,25
12874,4,67,92.77972377902323,1.019115292233787,-2.019115292233787,99.92,False,0.0,25,25
12875,4,6,88.31583158315833,-13.014201420142017,25.0980098009801,99.99,False,0.0,25,25
12876,4,45,68.44583417389549,6.410732297760742,28.1591688521283,99.14,False,0.0,60,60
12877,4,238,13.058133707527311,1.3552169990979253,-2.9999999999999996,99.77000000000001,False,0.0,60,60
12878,4,80,69.35803580358034,4.927692769276927,0.0328032803280328,99.99000000000001,False,0.0,60,60
12879,4,67,94.03096812988575,1.0,-2.0,99.78,False,0.0,60,60
12880,4,238,12.049769677548568,1.5374524334067694,-2.89284998998598,99.86,False,0.0,60,60
12881,4,99,64.93589358935894,1.7863786378637863,-5.786378637863787,99.99,False,0.0,60,60
12884,4,235,9.254125412541251,1.3728372837283727,-2.838983898389839,99.99000000000002,False,0.0,25,25
12886,4,67,92.56094875900719,1.0,-2.0,99.92,False,0.0,60,60
12888,4,122,28.594499999999996,-15.402899999999999,7.3953999999999995,100.0,False,0.0,60,60
12889,4,77,73.88888888888887,-2.284928492849285,-24.487148714871488,99.99000000000001,False,0.0,60,60
12890,4,235,11.471379795139585,1.898071901988351,-2.9999999999999996,99.58000000000001,False,0.0,60,60
12891,4,60,69.38583858385837,0.0,0.0,99.99,False,0.0,60,60
12892,4,71,86.05409459054093,0.0,0.0,100.01,False,0.0,60,60
12893,4,241,15.327382146439318,5.206820461384153,-12.54393179538616,99.69999999999999,False,0.0,60,60
12894,4,140,41.7765,41.7398,23.701999999999998,100.0,False,0.0,60,60
12895,4,76,78.4287,-2.3285,-22.7398,100.0,False,0.0,60,60
12896,4,45,69.09140914091408,6.144414441444143,29.112411241124107,99.99000000000001,False,0.0,100,100
12898,4,81,65.5097,8.5935,1.2007,100.0,False,0.0,100,100
12899,4,1,87.6365,0.0,8.0425,100.0,False,0.0,100,100
12900,4,64,74.74627462746275,1.23992399239924,-1.5659565956595662,99.99,False,0.0,30,30
12901,4,126,19.246499999999997,-17.890199999999997,7.723299999999999,100.0,False,0.0,30,30
12902,4,241,14.955208958208358,5.764747050589882,-13.361727654469107,100.02,False,0.0,30,30
12903,4,233,11.296630565583634,0.11231448054552749,-0.22462896109105498,99.71999999999998,False,0.0,30,30
12904,4,139,38.74802519748025,61.302769723027694,31.730526947305272,100.00999999999999,False,0.0,30,30
12905,4,208,18.800399999999996,29.6257,7.943699999999999,100.00000000000001,False,0.0,30,30
12906,4,173,14.005000500050008,28.045904590459045,-31.88748874887489,99.99,False,0.0,30,30
12907,4,229,13.977500000000004,22.252000000000002,0.8633000000000003,99.99999999999999,False,0.0,30,30
12908,4,169,21.688800000000004,19.319800000000004,-41.972300000000004,99.99999999999999,False,0.0,30,30
12936,4,142,44.4227,64.28370000000001,34.5741,99.99999999999999,False,0.0,55,55
12937,4,77,74.1988198819882,-1.2285228522852285,-27.406440644064407,99.99000000000001,False,0.0,55,55
12938,4,43,75.88730000000001,1.284,7.6228,100.0,True,5.454545454545454,55,52
12940,4,144,51.1153,59.29110000000001,39.3059,99.99999999999999,False,0.0,55,55
12941,4,175,20.7513,23.1425,-44.9329,100.0,False,0.0,55,55
12942,4,229,17.71752824717528,22.56494350564943,2.7719228077192275,100.01,False,0.0,55,55
12943,4,196,53.23652365236523,0.1039103910391039,-0.1039103910391039,99.99000000000001,False,0.0,55,55
12944,4,74,70.15700000000001,6.6236,-15.688500000000001,99.99999999999999,True,5.454545454545454,55,52
12946,4,173,19.004199999999997,23.972299999999997,-27.628299999999996,100.00000000000001,False,0.0,55,55
12948,4,60,71.24329999999999,0.0,0.0,100.00000000000001,False,0.0,55,55
12949,4,208,20.686331366863314,36.5983401659834,9.587841215878411,100.01,False,0.0,55,55
12951,4,52,88.8878887888789,12.260926092609264,-4.7153715371537155,99.98999999999998,False,0.0,55,55
12952,4,238,14.229600000000003,1.4179000000000002,-3.0000000000000004,99.99999999999999,False,0.0,55,55
12953,4,156,56.8878,9.2174,1.1622,100.0,False,0.0,55,55
12977,4,40,49.435500000000005,3.8621,13.685200000000002,100.0,False,0.0,35,35
12980,4,161,53.07969203079692,8.687231276872312,-21.903609639036095,100.01,False,0.0,35,35
12983,4,238,12.28778633590077,1.3331999599879965,-2.8233470041012305,99.97,False,0.0,40,40
12984,4,241,15.13574433981166,5.7666800240432785,-13.392205970747348,99.82,False,0.0,40,40
12985,4,197,46.953500000000005,1.0,2.0,100.0,False,0.0,40,40
12986,4,168,24.275899999999996,12.590299999999997,-36.4696,100.00000000000001,False,0.0,25,25
12987,4,235,11.621901033825155,1.0662451068955134,-3.0000000000000004,99.63,False,0.0,25,25
12988,4,71,83.8883543796352,1.0,-2.006614552014432,99.78,False,0.0,25,25
12990,4,235,11.526558891454966,1.062656893262376,-3.0558288984837834,99.59,False,0.0,25,25
12992,4,139,42.255199999999995,67.30720000000001,37.208200000000005,100.0,False,0.0,25,25
12993,4,175,18.2188,20.9294,-40.505,100.0,False,0.0,25,25
12994,4,238,12.676753507014029,1.0470941883767535,-3.0000000000000004,99.8,False,0.0,25,25
12995,4,239,10.993989180524947,5.029553195752356,-12.189841715087159,99.82,False,0.0,25,25
12996,4,71,82.2463,1.0,-2.0,100.0,False,0.0,25,25
12997,4,60,72.99289928992899,0.7113711371137114,-0.9765976597659765,99.99000000000001,False,0.0,25,25
12998,4,227,35.02025062656642,-3.3510776942355895,12.482005012531328,99.75,False,0.0,55,55
13000,4,78,79.71707170717072,29.662366236623665,-10.991399139913987,99.99000000000001,False,0.0,55,55
13002,4,81,64.2611,7.5356,1.0584,100.0,False,0.0,55,55
13003,4,71,83.89578957895792,1.0,-2.0,99.99,False,0.0,55,55
