cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
215,48.88,2.77,3.23,0.4835,0.4485,0.4344,#7b726e,49.4,44
216,50.59,0.4,-0.2,0.4743,0.4714,0.4735,#787878,333.7,440
217,51.15,6.42,11.4,0.5495,0.4608,0.403,#8c7566,60.6,33
218,54.15,6.46,4.97,0.5657,0.492,0.4752,#907d79,37.6,20
219,51.91,15.93,8.27,0.6085,0.4455,0.4326,#9b716e,27.4,31
220,48.04,10.91,0.23,0.5197,0.4224,0.4469,#846b71,1.2,32
221,47.62,14.43,8.92,0.5561,0.4073,0.3868,#8d6762,31.7,29
222,44.5,7.74,16.6,0.499,0.392,0.3062,#7f634e,65.0,74
223,43.0,3.11,6.06,0.4349,0.3902,0.3597,#6e635b,62.9,20
224,45.23,6.47,7.58,0.4814,0.4038,0.3714,#7a665e,49.5,48
225,59.44,23.86,57.27,0.797,0.49,0.1401,#cb7c23,67.4,4
226,57.95,37.29,55.64,0.8482,0.4309,0.1501,#d86d26,56.2,25
227,70.72,29.34,42.1,0.949,0.5909,0.3823,#f19661,55.1,17
228,66.49,35.65,57.31,0.9457,0.524,0.2212,#f18538,58.1,94
229,58.88,54.18,59.27,0.9467,0.3686,0.1373,#f15d23,47.6,29
230,64.45,41.99,47.4,0.9469,0.4814,0.2857,#f17a48,48.5,86
231,63.52,32.23,41.51,0.8782,0.5072,0.3176,#df8150,52.2,7
232,63.2,49.24,63.51,0.979,0.4368,0.1352,#f96f22,52.2,37
233,56.88,49.83,38.31,0.8869,0.3715,0.2843,#e25e48,37.6,56
234,60.31,57.46,44.43,0.9726,0.37,0.2752,#f85e46,37.7,81
235,54.8,55.81,30.36,0.8846,0.3215,0.3218,#e15152,28.5,109
236,53.94,68.85,40.39,0.945,0.2207,0.2503,#f0383f,30.4,167
237,54.56,65.92,45.12,0.9417,0.2513,0.2211,#f04038,34.4,62
238,52.79,35.05,41.37,0.7651,0.389,0.2185,#c36337,49.7,31
239,53.13,50.48,53.8,0.8534,0.3262,0.1282,#d95320,46.8,58
240,44.71,47.64,47.89,0.7331,0.2526,0.0975,#ba4018,45.2,23
241,48.77,60.81,52.06,0.847,0.2157,0.1098,#d7371b,40.6,55
242,47.99,56.74,43.64,0.8142,0.2365,0.1681,#cf3c2a,37.6,81
243,79.51,5.67,-15.68,0.7581,0.764,0.8865,#c1c2e2,289.9,17
244,74.98,5.3,-18.72,0.693,0.7173,0.858,#b0b6da,285.8,42
245,79.42,9.8,-12.65,0.8019,0.7519,0.8641,#ccbfdc,307.8,71
246,73.33,13.01,-19.34,0.7343,0.681,0.845,#bbadd7,303.9,40
247,68.16,9.28,-12.78,0.6761,0.6336,0.7419,#aca1bd,306.0,86
248,85.92,6.12,-6.59,0.8671,0.8298,0.8916,#ddd3e3,312.9,41
249,86.06,7.96,-0.8,0.9023,0.8249,0.851,#e6d2d8,354.2,75
250,82.56,22.07,-5.98,0.9486,0.7508,0.852,#f1bfd9,344.8,27
251,83.86,15.06,-3.21,0.9221,0.7832,0.8452,#ebc7d7,348.0,59
252,85.39,0.19,0.26,0.8389,0.8361,0.8346,#d5d5d4,54.5,790
253,91.84,0.5,-0.36,0.9108,0.907,0.9108,#e8e7e8,323.9,3245
254,90.72,1.4,-2.24,0.8988,0.893,0.9124,#e5e3e8,302.0,1279
255,90.46,0.51,3.95,0.91,0.8903,0.8633,#e8e3dc,82.7,1198
256,86.36,3.01,2.12,0.8777,0.8395,0.8321,#dfd6d4,35.1,207
257,83.06,1.43,-3.7,0.8092,0.8088,0.8381,#ceced5,291.1,723
258,83.61,0.65,-5.96,0.8007,0.8174,0.8606,#ccd0db,276.2,603
259,78.28,1.78,-1.32,0.7684,0.7554,0.7688,#c3c0c4,323.5,564
260,79.46,-0.2,0.74,0.7729,0.7722,0.7665,#c5c4c3,104.8,1272
261,73.9,0.17,1.24,0.7176,0.7115,0.7033,#b6b5b3,82.1,665
262,72.27,3.18,-4.28,0.7043,0.6888,0.7255,#b3afb9,306.6,106
263,75.16,4.92,-9.92,0.7281,0.7171,0.797,#b9b6cb,296.4,84
264,77.98,0.79,-5.54,0.7424,0.7558,0.7959,#bdc0ca,278.1,442
265,71.51,-0.62,-6.93,0.657,0.6902,0.7357,#a7b0bb,264.9,171
266,64.04,37.54,1.65,0.8556,0.5043,0.6024,#da8099,2.5,34
267,68.63,50.39,-2.09,0.976,0.5059,0.6782,#f880ac,357.6,67
268,64.81,63.43,-13.45,0.9815,0.4101,0.7178,#fa68b7,348.0,8
269,59.3,52.72,0.35,0.8837,0.3954,0.565,#e16490,0.4,55
270,63.39,54.6,-2.31,0.9375,0.4318,0.6254,#ef6e9f,357.6,55
271,65.73,31.02,-14.0,0.7964,0.549,0.727,#cb8bb9,335.7,3
272,75.98,39.79,-6.34,0.989,0.6253,0.7851,#fc9fc8,351.0,28
273,74.68,28.54,-13.81,0.8803,0.6502,0.8224,#e0a5d1,334.2,53
274,74.84,20.84,0.96,0.8725,0.6693,0.7182,#deaab7,2.6,28
275,78.3,32.19,0.27,0.9839,0.6727,0.762,#faabc2,0.5,27
276,70.41,18.26,-0.75,0.8016,0.6302,0.6829,#cca0ae,357.6,63
277,68.55,25.92,0.22,0.833,0.5888,0.6576,#d496a7,0.5,36
278,60.95,34.35,29.06,0.8457,0.4761,0.383,#d77961,40.2,20
279,66.63,23.51,21.09,0.8388,0.5702,0.492,#d5917d,41.9,43
280,69.2,41.6,25.12,0.9787,0.5371,0.4933,#f9887d,31.1,50
281,66.97,42.14,32.91,0.9645,0.5098,0.4163,#f5826a,38.0,42
282,73.76,30.17,25.4,0.9679,0.6236,0.5347,#f69f88,40.1,102
283,68.63,30.13,31.65,0.916,0.5686,0.4385,#e9906f,46.4,54
284,66.84,35.21,15.77,0.9005,0.5371,0.5335,#e58888,24.1,8
285,65.18,49.89,23.83,0.9739,0.4625,0.4643,#f87576,25.5,74
286,65.18,23.68,14.46,0.8116,0.5563,0.5236,#ce8d85,31.4,20
287,64.29,17.5,8.43,0.7518,0.566,0.5552,#bf908d,25.7,21
288,55.71,29.61,18.99,0.7461,0.4409,0.4003,#be7066,32.7,26
289,58.9,27.09,12.03,0.7567,0.4826,0.478,#c07b79,24.0,29
290,69.71,10.25,-1.47,0.7373,0.6438,0.6793,#bca4ad,351.8,9
291,77.22,9.09,-1.36,0.811,0.7264,0.7587,#ceb9c1,351.5,68
292,68.4,11.26,8.63,0.7572,0.6248,0.595,#c19f97,37.5,23
293,74.52,11.16,7.18,0.82,0.6899,0.6691,#d1afaa,32.8,35
294,74.69,6.02,1.65,0.7705,0.706,0.7095,#c4b4b4,15.4,21
295,69.37,4.04,2.59,0.7019,0.6542,0.6464,#b2a6a4,32.7,44
296,72.14,5.34,8.44,0.7573,0.6787,0.6343,#c1ada1,57.7,59
297,76.49,3.03,6.49,0.7827,0.731,0.6936,#c7bab0,65.0,128
298,86.27,8.52,9.3,0.9385,0.8229,0.7791,#efd1c6,47.5,62
299,85.84,13.13,14.97,0.9801,0.8047,0.7335,#f9cdbb,48.7,32
300,71.95,25.0,16.94,0.9014,0.6223,0.5755,#e59e92,34.1,22
301,77.62,26.73,13.24,0.9704,0.6783,0.6611,#f7aca8,26.3,33
302,80.99,16.12,10.89,0.9353,0.7452,0.7119,#eebeb5,34.0,40
303,77.78,20.06,19.53,0.9428,0.6977,0.6163,#f0b19d,44.2,63
304,61.38,-6.83,5.88,0.549,0.5941,0.5397,#8c9789,139.3,35
305,68.44,-0.98,1.86,0.6531,0.656,0.6411,#a6a7a3,117.7,67
306,66.27,-3.47,5.5,0.6233,0.6378,0.5927,#9ea297,122.2,71
307,72.07,-4.13,0.04,0.6609,0.7019,0.6918,#a8b2b0,179.5,33
308,71.24,-4.58,3.99,0.6622,0.693,0.6551,#a8b0a7,139.0,45
309,65.82,-13.01,22.72,0.5959,0.6492,0.4655,#97a576,119.8,15
310,62.73,-8.95,16.85,0.5786,0.6099,0.4769,#939b79,118.0,49
311,72.25,-8.81,16.7,0.679,0.7097,0.5743,#adb492,117.8,148
312,69.03,-4.88,13.71,0.6656,0.6679,0.5632,#a9aa8f,109.6,42
313,71.98,-5.59,9.06,0.6783,0.7018,0.6267,#acb29f,121.7,61
314,78.02,-7.46,18.38,0.7555,0.7684,0.6222,#c0c39e,112.1,22
315,76.4,-13.76,17.17,0.6865,0.7645,0.6131,#afc29c,128.7,39
316,63.75,-38.6,40.69,0.4087,0.6692,0.3061,#68aa4e,133.5,30
317,68.27,-36.34,42.3,0.4815,0.7139,0.3385,#7ab656,130.7,23
318,70.01,-53.53,17.75,0.0923,0.7625,0.5375,#17c289,161.7,38
319,72.26,-61.14,37.62,0.1641,0.7947,0.4102,#29ca68,148.4,11
320,58.05,-41.45,10.07,0.141,0.6174,0.4731,#239d78,166.3,31
321,61.65,-49.46,20.94,0.1175,0.665,0.4313,#1da96d,157.1,18
322,53.71,-47.36,29.7,0.1317,0.5765,0.2917,#21934a,147.9,1
323,68.36,-0.52,10.23,0.6804,0.6521,0.5816,#ada694,92.9,199
324,72.52,-0.45,5.78,0.7124,0.697,0.6563,#b5b1a7,94.5,238
325,71.7,-6.41,28.13,0.7177,0.6966,0.4866,#b7b17c,102.8,23
