cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
218,76.72,20.24,65.38,0.9921,0.678,0.244,#fcac3e,72.8,18
219,77.04,13.1,32.42,0.9137,0.7059,0.5132,#e8b482,68.0,30
220,68.27,-0.56,47.61,0.7502,0.6445,0.3056,#bfa44d,90.7,6
221,75.02,1.79,65.45,0.8618,0.708,0.2137,#dbb436,88.4,9
222,81.66,5.01,66.56,0.9619,0.7711,0.2781,#f5c446,85.7,8
223,77.73,-1.14,33.55,0.831,0.7482,0.5086,#d3be81,92.0,18
224,86.36,-2.75,52.16,0.9501,0.8426,0.4516,#f2d673,93.0,7
225,64.4,14.32,47.04,0.7942,0.5682,0.2773,#ca9046,73.1,23
226,68.11,31.78,55.75,0.9437,0.5539,0.2492,#f08d3f,60.3,21
227,68.85,17.06,36.24,0.8489,0.6084,0.404,#d89b67,64.8,38
228,62.67,19.78,35.19,0.7922,0.5375,0.3522,#ca8959,60.7,40
229,63.76,2.93,17.55,0.6727,0.5947,0.4842,#ab977b,80.5,53
230,65.26,0.21,10.28,0.6528,0.618,0.5496,#a69d8c,88.9,63
231,59.94,0.33,9.72,0.5966,0.5631,0.4998,#988f7f,88.1,74
232,75.08,3.64,20.12,0.8063,0.7113,0.581,#cdb594,79.7,54
233,68.58,1.92,20.26,0.7238,0.6466,0.5133,#b8a482,84.6,19
234,71.27,2.9,12.58,0.7417,0.6743,0.5955,#bdab97,77.0,127
235,66.93,5.37,8.2,0.7008,0.624,0.582,#b29f94,56.8,82
236,65.13,10.39,18.64,0.7377,0.5907,0.4916,#bc967d,60.9,27
237,71.93,6.75,15.52,0.7821,0.6714,0.5821,#c7ab94,66.5,70
238,77.11,-33.81,-14.33,0.2836,0.8178,0.8459,#48d0d7,203.0,22
239,67.45,-19.45,-5.12,0.4539,0.685,0.6775,#73aeac,194.7,8
240,70.36,-32.81,-10.2,0.2625,0.741,0.743,#42bcbd,197.3,86
241,81.18,-22.69,5.11,0.616,0.8373,0.7504,#9dd5bf,167.3,7
242,78.07,-26.27,-3.71,0.4999,0.8121,0.7804,#7fcfc7,188.0,41
243,73.21,-11.01,-0.8,0.6131,0.7288,0.709,#9cb9b4,184.2,41
244,78.53,-14.57,-0.85,0.6374,0.7936,0.766,#a2cac3,183.3,59
245,76.31,-9.27,-7.43,0.6326,0.7605,0.79,#a1c1c9,218.7,15
246,71.97,-13.3,-12.03,0.5259,0.7234,0.7754,#86b8c5,222.1,55
247,72.76,-19.91,-30.75,0.2839,0.7509,0.9171,#48bfe9,237.1,8
248,76.6,-9.57,-26.05,0.5274,0.7703,0.9273,#86c4ec,249.8,29
249,83.78,-9.35,-11.96,0.6901,0.8435,0.9052,#afd7e6,232.0,36
250,87.52,-6.63,-4.65,0.788,0.8767,0.8934,#c8dfe3,215.0,71
251,89.25,-15.2,-5.78,0.7243,0.9148,0.9201,#b8e9ea,200.8,1
252,83.77,-7.57,3.21,0.7696,0.8351,0.7942,#c4d4ca,157.0,9
253,84.4,-3.51,0.83,0.8007,0.8336,0.8191,#ccd4d0,166.8,31
254,84.17,-4.57,-8.51,0.7531,0.8363,0.8849,#c0d5e1,241.8,43
255,88.27,-2.85,-4.35,0.8293,0.8764,0.9001,#d3dfe5,236.7,114
256,65.72,-36.46,-2.43,0.217,0.6947,0.6387,#37b1a2,183.8,19
257,62.66,-49.18,19.81,0.1304,0.6757,0.4494,#21ac72,158.1,9
258,58.79,-43.91,11.8,0.1058,0.6284,0.4682,#1aa077,165.0,9
259,72.74,-19.55,22.93,0.6185,0.7353,0.5326,#9dbb87,130.5,7
260,72.36,-9.92,22.18,0.6862,0.7121,0.5359,#aeb588,114.1,38
261,63.49,-3.93,6.61,0.5945,0.6096,0.5564,#979b8d,120.7,34
262,63.1,-5.05,16.16,0.6085,0.6059,0.486,#9b9a7b,107.4,7
263,62.13,-11.42,6.98,0.5246,0.6107,0.5391,#859b89,148.6,7
264,69.6,-10.66,6.99,0.6074,0.6876,0.6158,#9aaf9d,146.7,15
265,65.63,-7.22,5.75,0.5891,0.639,0.5839,#96a294,141.5,24
266,44.73,-26.13,-8.93,0.0289,0.4627,0.4701,#077577,198.9,9
267,48.38,-13.68,-3.29,0.3289,0.4776,0.4704,#537977,193.5,20
268,50.99,-10.8,-14.79,0.319,0.5017,0.5731,#517f92,233.9,31
269,53.3,-11.28,-4.9,0.3911,0.5229,0.5305,#638587,203.5,50
270,60.15,-22.2,-0.36,0.3758,0.6117,0.5683,#5f9b90,180.9,17
271,50.69,-22.42,-0.43,0.277,0.5148,0.4735,#468378,181.1,14
272,55.9,-17.4,-1.38,0.3766,0.5596,0.5325,#608e87,184.5,48
273,59.75,-30.33,-14.61,0.0539,0.6247,0.6612,#0d9fa8,205.7,24
274,51.74,-24.4,-14.73,0.1094,0.5324,0.5792,#1b8793,211.1,35
275,58.02,-17.04,-6.53,0.3743,0.5821,0.5892,#5f9496,201.0,22
276,54.64,-29.02,-8.71,0.1385,0.5677,0.5681,#239090,196.7,31
277,61.09,0.01,-0.42,0.5768,0.5782,0.5809,#939394,271.1,186
278,58.48,-0.25,-5.24,0.5317,0.5534,0.5869,#878d95,267.3,53
279,55.45,0.61,0.25,0.5258,0.5194,0.5191,#868484,22.1,107
280,51.68,-0.73,-3.19,0.4672,0.4853,0.5039,#777b80,257.1,68
281,53.65,-8.98,0.31,0.4357,0.5207,0.4994,#6f847f,178.0,18
282,51.88,-5.27,4.85,0.4621,0.4947,0.4521,#757e73,137.4,22
283,65.39,-11.75,-2.42,0.5191,0.6477,0.6378,#84a5a2,191.6,168
284,62.3,-13.48,-7.96,0.4458,0.6203,0.6437,#719ea4,210.6,54
285,59.1,-6.59,-6.07,0.4841,0.5732,0.5982,#7b9298,222.6,3
286,64.8,-7.89,-8.97,0.518,0.6357,0.6777,#84a2ac,228.7,29
287,58.5,-7.0,5.12,0.516,0.5649,0.5158,#839083,143.8,49
288,59.54,-12.46,-2.22,0.4546,0.5881,0.5758,#739592,190.1,210
289,62.82,30.83,2.64,0.8043,0.5137,0.582,#cd8294,4.9,21
290,56.36,29.95,2.47,0.7268,0.4508,0.5173,#b97283,4.7,7
291,58.46,25.21,-1.35,0.7134,0.4878,0.5636,#b57c8f,356.9,177
292,65.6,52.91,0.22,0.959,0.462,0.6309,#f475a0,0.2,42
293,58.76,52.3,-1.36,0.872,0.3923,0.5708,#de6491,358.5,17
294,58.1,49.3,-10.12,0.8303,0.4024,0.6223,#d3669e,348.4,156
295,56.98,27.87,-12.27,0.6857,0.4686,0.6222,#ae779e,336.2,48
296,60.66,46.94,-26.97,0.8019,0.4471,0.7635,#cc71c2,330.1,3
297,61.25,33.07,-12.42,0.7643,0.4958,0.6687,#c27eaa,339.4,29
298,64.03,24.78,-1.0,0.7727,0.5457,0.6186,#c58b9d,357.7,81
299,63.76,18.03,-3.76,0.7195,0.5627,0.6338,#b78fa1,348.2,21
300,68.78,26.82,-9.9,0.8147,0.5919,0.7306,#cf96ba,339.7,61
301,65.21,27.69,-12.64,0.773,0.5532,0.7116,#c58db5,335.5,39
302,70.13,25.8,1.72,0.8535,0.6051,0.6636,#d99aa9,3.8,43
303,71.63,41.31,5.02,0.9726,0.5696,0.6589,#f891a8,6.9,7
304,79.55,27.71,8.56,0.9889,0.6973,0.7152,#fcb1b6,17.2,4
305,72.5,28.69,13.04,0.9227,0.618,0.6093,#eb9d9b,24.4,14
306,70.42,16.37,-1.54,0.7869,0.6356,0.6881,#c8a2af,354.6,74
307,75.74,21.17,-7.57,0.8609,0.6807,0.7887,#dbadc9,340.3,18
308,78.01,16.13,-0.36,0.8725,0.7163,0.7609,#deb6c2,358.7,70
309,82.66,30.45,-10.62,0.9936,0.7289,0.8879,#fdb9e2,340.8,12
310,73.75,31.36,-14.35,0.8872,0.632,0.8165,#e2a1d0,335.4,31
311,64.53,44.88,-9.86,0.8791,0.4872,0.6874,#e07caf,347.6,97
312,71.22,47.96,-10.44,0.9737,0.5465,0.7636,#f88bc2,347.7,113
313,75.42,12.47,-24.46,0.7309,0.7065,0.9048,#bab4e6,297.0,15
314,75.2,8.8,-17.0,0.7311,0.7106,0.8485,#bab5d8,297.4,40
315,75.9,5.28,-9.08,0.7421,0.7239,0.7992,#bdb8cb,300.2,56
316,75.96,2.35,-14.96,0.6956,0.7334,0.8416,#b1bbd6,278.9,29
317,78.3,0.32,-7.6,0.7343,0.7609,0.8142,#bbc2cf,272.4,618
318,71.79,-0.14,-7.02,0.6635,0.6921,0.7394,#a9b0bc,268.8,335
319,77.04,-0.74,-3.39,0.7282,0.7485,0.7701,#b9bec4,257.8,142
320,73.39,-0.35,-0.66,0.7018,0.7077,0.7113,#b2b4b5,242.3,130
321,67.83,1.13,-2.76,0.6471,0.6462,0.6673,#a5a4aa,292.3,194
322,66.17,0.82,-8.07,0.6081,0.6311,0.6868,#9ba0af,275.8,90
323,64.48,-0.8,-4.8,0.5903,0.6161,0.6461,#969da4,260.5,108
324,80.89,-2.0,-12.61,0.722,0.7959,0.8787,#b8cae0,261.0,75
325,75.5,-3.3,-15.48,0.6396,0.7414,0.8396,#a3bdd6,258.0,120
326,70.45,2.04,-11.96,0.6472,0.6745,0.76,#a5abc1,279.7,78
327,68.68,0.54,-17.92,0.5898,0.6613,0.7828,#96a8c7,271.7,63
328,85.95,14.22,0.73,0.9514,0.807,0.8393,#f2cdd6,2.9,85
329,81.67,15.52,9.98,0.9368,0.7544,0.7257,#eec0b9,32.7,22
330,84.75,9.21,9.62,0.9271,0.8044,0.7604,#eccdc1,46.3,8
331,81.37,11.02,-11.83,0.8355,0.7695,0.8798,#d5c4e0,312.9,87
332,87.85,8.15,-7.23,0.902,0.8461,0.9181,#e6d7ea,318.4,37
333,79.58,10.7,-1.87,0.8472,0.7479,0.7881,#d8bec8,350.1,58
334,83.47,5.48,0.93,0.8605,0.8021,0.8094,#dbccce,9.6,98
335,81.74,2.2,3.82,0.8259,0.7904,0.7691,#d2c9c4,60.1,286
336,75.67,1.89,-2.21,0.738,0.7274,0.7471,#bcb9be,310.4,304
337,83.72,2.59,-4.04,0.8244,0.8134,0.8481,#d2cfd8,302.7,92
338,83.19,1.02,-1.66,0.8147,0.8106,0.8246,#cfced2,301.6,593
339,90.43,0.83,-3.98,0.8847,0.8916,0.922,#e1e3eb,281.8,283
340,84.16,0.46,-6.64,0.8026,0.8241,0.8717,#ccd2de,274.0,466
341,83.23,-0.38,2.6,0.8187,0.8131,0.7938,#d0cfca,98.3,601
342,91.55,0.74,-0.72,0.9082,0.9033,0.9103,#e7e6e8,315.9,1941
343,88.39,3.32,2.96,0.9053,0.8609,0.8482,#e6dbd8,41.7,37
344,90.18,0.74,3.7,0.9079,0.8867,0.8621,#e7e2db,78.7,354
345,69.8,7.75,1.59,0.7299,0.6501,0.6584,#baa5a7,11.6,37
346,73.59,10.98,1.78,0.794,0.682,0.6977,#caadb1,9.2,59
347,75.09,5.52,1.68,0.7713,0.7114,0.7135,#c4b5b5,16.9,34
348,74.42,7.28,7.85,0.794,0.6983,0.6627,#cab2a8,47.2,86
349,79.65,5.61,10.7,0.8475,0.7578,0.6973,#d8c1b1,62.3,80
350,76.61,3.03,7.5,0.7869,0.7321,0.6877,#c8baaf,68.0,102
351,71.83,1.26,3.49,0.7107,0.6863,0.6655,#b5afa9,70.1,313
352,77.88,0.32,2.89,0.7668,0.7533,0.734,#c3c0bb,83.6,516
353,49.18,41.06,46.31,0.7551,0.329,0.1493,#c05326,48.4,25
354,52.78,44.07,35.42,0.8058,0.3548,0.2647,#cd5a43,38.8,27
355,54.29,62.53,51.2,0.925,0.2706,0.1704,#eb452b,39.3,15
356,50.94,55.2,52.91,0.8482,0.2776,0.1185,#d8461e,43.8,21
357,47.64,59.27,45.94,0.8228,0.2144,0.1489,#d13625,37.8,75
358,42.79,60.97,41.21,0.7678,0.1359,0.1424,#c32224,34.1,123
359,43.28,62.77,33.65,0.7782,0.1263,0.1989,#c62032,28.2,113
360,47.88,67.71,39.8,0.8621,0.1418,0.2,#db2432,30.4,166
361,39.47,49.33,44.17,0.6755,0.1868,0.0821,#ac2f14,41.8,16
362,47.03,39.67,35.02,0.7153,0.3149,0.2137,#b65036,41.4,23
363,43.4,41.06,28.23,0.6742,0.2739,0.2278,#ab453a,34.5,19
364,62.04,46.28,22.99,0.9155,0.4445,0.4384,#e9716f,26.4,21
365,62.09,51.67,18.25,0.9388,0.4236,0.4724,#ef6c78,19.4,72
366,67.05,50.89,12.56,0.9862,0.4817,0.5609,#fb7a8f,13.9,22
367,68.63,33.13,15.43,0.9087,0.5628,0.5537,#e78f8d,25.0,49
368,57.04,68.4,6.42,0.9487,0.279,0.5047,#f14780,5.4,65
369,59.4,62.24,17.51,0.9603,0.3413,0.4533,#f45773,15.7,122
370,57.96,60.83,36.19,0.9537,0.3272,0.3131,#f3534f,30.7,14
371,52.36,67.14,39.39,0.916,0.2142,0.2422,#e9363d,30.4,107
372,50.4,46.18,24.55,0.7779,0.3234,0.317,#c65250,28.0,54
373,54.55,49.51,22.19,0.8417,0.3522,0.3724,#d6595e,24.1,108
374,62.84,32.05,32.4,0.8593,0.5024,0.3771,#db8060,45.3,18
375,63.42,44.0,31.13,0.9295,0.466,0.3949,#ed7664,35.3,13
376,64.41,42.13,53.45,0.9516,0.4795,0.2371,#f27a3c,51.8,10
377,58.49,53.38,55.02,0.9357,0.3689,0.1724,#ee5e2b,45.9,7
378,61.78,15.66,7.85,0.7117,0.5454,0.5335,#b58b88,26.6,49
379,66.82,16.82,7.66,0.7737,0.5942,0.5864,#c59795,24.5,32
380,68.21,11.6,8.04,0.756,0.6222,0.5973,#c09e98,34.7,82
381,73.65,19.64,15.05,0.8839,0.656,0.6053,#e1a79a,37.5,20
382,74.89,26.45,25.19,0.9588,0.6471,0.547,#f4a58b,43.6,35
383,64.23,27.16,14.61,0.8218,0.5362,0.5137,#d18882,28.3,77
384,67.65,26.7,22.15,0.8709,0.571,0.4953,#de917e,39.7,113
385,50.07,26.25,22.43,0.6692,0.3947,0.323,#aa6452,40.5,11
386,48.07,17.24,21.66,0.5977,0.4016,0.3077,#98664e,51.5,46
387,50.91,16.56,33.28,0.6393,0.4291,0.2538,#a36d40,63.5,24
388,56.83,18.63,32.37,0.7158,0.4821,0.3162,#b67a50,60.1,20
389,50.41,15.37,7.89,0.5886,0.4323,0.4204,#966e6b,27.2,76
390,55.8,19.82,8.01,0.6727,0.4738,0.4732,#ab7878,22.0,67
391,58.38,26.07,20.59,0.7591,0.4785,0.4147,#c17a69,38.3,40
